size,num_sections,num_unique_sections,section_names_entropy,avg_section_size,min_section_size,max_section_size,total_section_size,avg_entropy,min_entropy,max_entropy,has_packed_sections,has_executable_sections,writable_executable_sections,num_imports,num_unique_dlls,num_unique_imports,imports_to_dlls_ratio,has_import_name_mismatches,suspicious_imports_count,num_exports,suspicious_exports,suspicious_api_chains,has_delayed_imports,is_dll,is_executable,is_system_file,has_aslr,has_dep,is_signed,has_rich_header,rich_header_entries,num_strings,avg_string_length,has_suspicious_strings,has_anti_debug,has_vm_detection_imports,has_vm_detection_strings,has_vm_mac_addresses,has_anti_debug_imports,has_anti_debug_strings,has_process_creation_imports,has_createprocess,has_setwindowshookex,has_nop_sleds,has_resources,num_resources,has_embedded_exe,has_debug,has_tls,has_relocations,ep_in_first_section,ep_in_last_section,ep_section_entropy,has_suspicious_sections,label
414624,7,7,2.807354922057604,57709.71428571428,1536,260608,403968,4.0192292020141265,0.015920183265625623,5.983066667776489,0,1,0,200,22,200,9.090909090909092,0,5,2,0,0,0,0,2,0,64,256,0,0,0,1607,16.304293714996888,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,5.983066667776489,0,0
45056,7,7,2.807354922057604,5851.428571428572,4096,12288,40960,1.6822912942391244,0.015920183265625623,6.051432520402268,0,1,0,72,3,72,24.0,0,2,0,0,0,0,0,2,0,64,256,0,0,0,295,9.216949152542373,1,0,0,0,0,1,1,0,0,0,0,1,2,0,1,0,0,1,0,6.051432520402268,0,0
3183616,7,7,2.807354922057604,454656.0,0,1922560,3182592,4.122126926290668,0.0,7.070232351818499,1,1,0,480,10,480,48.0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,11890,14.491169049621531,1,1,0,0,0,1,1,1,0,0,0,1,9,1,0,1,0,1,0,6.040348459571216,0,0
4313600,8,8,3.0,539072.0,0,2346496,4312576,4.091449188844197,0.0,6.63163715003075,1,1,0,483,10,483,48.3,0,7,0,0,0,0,0,2,0,0,0,0,0,0,12565,14.005968961400717,1,1,0,0,0,1,1,1,0,0,0,1,9,1,0,1,0,1,0,5.812164663674016,0,0
1350530,14,14,3.8073549220576055,80932.57142857143,0,999936,1133056,3.162845158646354,0.0,6.300518744294235,1,1,0,171,5,171,34.2,0,6,0,0,0,0,0,2,0,0,0,0,0,0,7545,13.295162359178264,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,6.2428308824742205,0,0
36864,7,7,2.807354922057604,4681.142857142857,4096,8192,32768,1.4775051143643074,0.015920183265625623,4.555285199889459,0,1,0,45,5,45,9.0,0,2,0,0,0,0,0,2,0,64,256,0,0,0,188,9.297872340425531,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,4.555285199889459,0,0
5421976,7,7,2.807354922057604,772900.5714285715,512,3535872,5410304,4.288312796101058,0.0,6.674643542021406,0,1,0,582,6,582,97.0,1,15,5,2,3,0,0,2,0,64,256,0,0,0,17768,16.173007654209815,1,1,0,1,0,1,1,1,1,1,0,1,12,1,1,1,0,1,0,6.460431315064911,0,0
37272,6,6,2.584962500721156,4266.666666666667,512,11776,25600,3.682145488622195,1.3543736476923918,6.091725361515313,0,1,0,81,11,81,7.363636363636363,0,5,0,0,0,0,0,2,0,64,256,0,0,0,467,14.049250535331906,1,1,0,0,0,1,1,0,0,0,0,1,3,1,1,1,0,1,0,6.091725361515313,0,0
27816,6,6,2.584962500721156,3242.6666666666665,512,8192,19456,3.2529912269228536,0.9571501096213395,5.888245373077944,0,1,0,71,12,71,5.916666666666667,0,4,0,0,0,0,0,2,0,64,256,0,0,0,380,14.58421052631579,1,1,0,0,0,1,1,1,1,0,0,1,2,0,1,0,0,1,0,5.888245373077944,0,0
336552,6,6,2.584962500721156,54698.666666666664,2048,233984,328192,5.316705960454702,4.790003985043359,6.237376969839735,0,1,0,257,21,257,12.238095238095237,0,4,0,0,0,0,0,2,0,64,256,0,0,0,2086,10.360498561840844,1,1,0,0,0,1,1,0,0,0,0,1,5,0,1,1,0,1,0,6.237376969839735,0,0
